ID	example_id	stem_id	example_form	ex_DE	ex_EN	ex_form_IDN	ex_form_IDN_edited
1584	12_1684914315_0	12_1684914315	kítera ekaka	alle Menschen	all people	semua orang	
1585	12_1684987604_0	12_1684987604	kikitə	baden	to bathe	untuk mandi	
1586	12_1684987604_1	12_1684987604	kipakitə	jmd baden	to bathe someone	untuk memandikan seseorang	
1587	12_1684987604_2	12_1684987604	ekitəa	Badeplatz	Bathing place	Tempat mandi	
1588	12_1684987604_3	12_1684987604	edipakitə	(noun) Gebadete	bathed (things/people) (noun)	dimandikan (benda/orang) (kata benda)	
1589	12_1684987952_0	12_1684987952	kikiti	aufpicken	to pick up	untuk mengambil	
1590	12_1684987952_1	12_1684987952	hoo bukiti	pickte bereits auf	already picked up	sudah dijemput	
1591	12_1684987952_2	12_1684987952	edikiti	(noun) Aufgepickte	(things) picked up (noun)	(benda) yang diambil (kata benda)	
1592	12_1684987952_3	12_1684987952	ekitio	(noun) Aufzupickende	(things) to be picked up (noun)	(benda) yang akan diambil (kata benda)	
1593	12_1684988544_0	12_1684988544	kikito	schmecken (tr) , versuchen , untersuchen	taste (tr) , try , examine	mencicipi (tr) , mencoba , memeriksa	
1594	12_1684988544_1	12_1684988544	hoo bukito	geschmeckt haben	have tasted	telah mencicipi	
1595	12_1684988544_2	12_1684988544	kia kikito bupudu ekoyo	er versuchte , das Schwein zu töten	he tried to kill the pig	dia mencoba membunuh babi itu	
1596	12_1684988544_3	12_1684988544	kaditoi	jmd , etwas untersuchen	to investigate someone/something	untuk menyelidiki seseorang/sesuatu	
1597	12_1684988544_4	12_1684988544	hoo baditoi	untersuchte bereits jmd , etwas	was already examining someone , something	sudah memeriksa seseorang , sesuatu	
1598	12_1684988544_5	12_1684988544	edikito	(noun) Untersuchte	(thing) investigated (noun)	(benda) yang diselidiki (kata benda)	
1599	12_1684988544_6	12_1684988544	ekitoho	(noun) zu Untersuchende	(thing) to be investigated (noun)	(benda) yang akan diselidiki (kata benda)	
1600	12_1684988544_7	12_1684988544	eaditoa	Untersuchensort	Examination location	Lokasi pemeriksaan	
1601	12_1684988790_0	12_1684988790	kikito	baden (intr)	bathe (intr)	mandi (intr)	
1602	12_1684988790_1	12_1684988790	kipakito	jmd baden (tr)	to bathe someone (tr)	untuk memandikan seseorang (tr)	
1603	12_1684988790_2	12_1684988790	yapakikito	sie badet jmd gründlich	she bathes someone thoroughly	dia memandikan seseorang secara menyeluruh	
1604	12_1684988790_3	12_1684988790	yabakitoho:i eboo	sie badet in dem Wasser	she bathes in the water	dia mandi di dalam air	
1605	12_1684988840_0	12_1684988840	kipakito	spielen , tollen	play , have fun	bermain, bersenang-senang	
1606	12_1684989249_0	12_1684989249	ekito eʔãkẽnũ	Tigerhai	Tiger shark	Hiu harimau	
1607	12_1684989249_1	12_1684989249	ekito emãnũkũnĩ	Haiart	type of shark	jenis hiu	
1608	12_1684989249_2	12_1684989249	ekito kaʔakaʔa pakaʔã:ĩnã	dgl	and the like	dan sejenisnya	
1609	12_1684989249_3	12_1684989249	ekito eboboʔo:ipo	dgl	and the like	dan sejenisnya	
1610	12_1684989249_4	12_1684989249	ekito eũʔũ upõ	Tümmler	Porpoise	Porpoise	
1611	12_1684989249_5	12_1684989249	ekito eʔanõnõnõ	kleine Haiart	small species of shark	spesies hiu kecil	
1612	12_1684989249_6	12_1684989249	ekito ekapedoa	dgl	and the like	dan sejenisnya	
1613	12_1684989249_7	12_1684989249	ekito kaʔuda:ixo	weißer Hai	Great white shark	Hiu putih besar	
1614	12_1684989690_0	12_1684989690	kakitohe	vorbeigehen an , passieren	to pass by , to pass	untuk melewati, untuk melewati	
1615	12_1684989690_1	12_1684989690	kipakitohéaʔa	vorbeigehen an	to pass by	untuk melewati	
1616	12_1684989779_0	12_1684989779	kakitóhoe	vorbeigehen an jmd , etwas , jmd passieren	to pass by sb , something	untuk melewati sb , sesuatu	
1617	12_1684989835_0	12_1684989835	akitorea	folgeǃ	followǃ (sg)	followǃ (sg)	
1618	12_1684989835_1	12_1684989835	kabakitorea	folgen	to follow	untuk mengikuti	
1619	12_1684990010_0	12_1684990010	ekituu	Unterseite	bottom	bawah	
1620	12_1684990010_1	12_1684990010	ikituu	an der Unterseite , unten , unter	at the bottom , below , under	di bagian bawah, di bawah, di bawah	
1621	12_1684990187_0	12_1684990187	ekituo	Großfamilie	extended family	keluarga besar	
1622	12_1684990187_1	12_1684990187	ki kahakituo	sie , die einer Großfamilie anghören	they who belong to an extended family	mereka yang merupakan bagian dari keluarga besar	
1623	12_1684997364_0	12_1684997364	kipapepei	ablehnen	to reject	untuk menolak	
1624	12_1684999182_0	12_1684999182	kipəa	sehen	to see	untuk melihat	
1625	12_1684999182_1	12_1684999182	hoo bupəa	sah	saw	melihat	
1626	12_1684999182_10	12_1684999182	kipəpə́amãʔãnãpõnãʔã	tatenlos zuzusehen pflegen	to (habitually) watch idly	untuk (biasanya) menonton secara iseng	
1627	12_1684999182_11	12_1684999182	epə́aha	Aussehen , Charakter	appearance , character	penampilan, karakter	
1628	12_1684999182_12	12_1684999182	eabapəa	das Sehen	the seeing	melihat	
1629	12_1684999182_13	12_1684999182	epapəa	das (nach etwas) Sehen , Ausschauen	the seeing/looking for (something)	melihat/mencari (sesuatu)	
1630	12_1684999182_14	12_1684999182	epapəpəa	das Beobachten	the watching	menonton	
1631	12_1684999182_15	12_1684999182	edipəa	(noun) Gesehene	(thing) seen (noun)	(benda) terlihat (kata benda)	
1632	12_1684999182_16	12_1684999182	edixii bupəa	wird wieder gesehen	will be seen again	akan terlihat lagi	
1633	12_1684999182_17	12_1684999182	ekaparapi káupe bupea	das Schiff wird noch nicht gesehen	the ship is not yet seen	kapal belum terlihat	
1634	12_1684999182_18	12_1684999182	eəpəa	Fernrohr , Mikroskop	Telescope , microscope	Teleskop, mikroskop	
1635	12_1684999182_19	12_1684999182	epə́aha:o	(noun) zu Sehende	(thing) to be seen (noun)	(benda) yang dapat dilihat (kata benda)	
1636	12_1684999182_2	12_1684999182	kibupəa	sie sahen	they saw	mereka melihat	
1637	12_1684999182_20	12_1684999182	epapə́aha	Sehensort	place of seeing	tempat melihat	
1638	12_1684999182_3	12_1684999182	uabapəa	sieh duǃ	you look! (sg)	anda lihat! (sg)	
1639	12_1684999182_4	12_1684999182	kipapəa	einander sehen	to see one another	untuk bertemu satu sama lain	
1640	12_1684999182_5	12_1684999182	kidipəa	wird gesehen	is seen	terlihat	
1641	12_1684999182_6	12_1684999182	kipedəa	wiederholt sehen , zu sehen pflegen	usually/normally see	biasanya/biasanya melihat	
1642	12_1684999182_7	12_1684999182	kipəpəpəa	zu Gesicht bekommen , beobachten yai yabapəa besuchen	get to see , observe yai yabapəa visit	bisa melihat, mengamati kunjungan yai yabapəa	
1643	12_1684999182_8	12_1684999182	yai yabapəa	besuchen	visit	kunjungi	
1644	12_1684999182_9	12_1684999182	dabapəpəa	besuchen	visit	kunjungi	
1645	12_1684999717_0	12_1684999717	kapəa	abkühlen (in)	to cool down (in)	untuk mendinginkan (dalam)	
1646	12_1684999717_1	12_1684999717	yapəa	es ist kalt	it is cold	itu dingin	
1647	12_1684999717_2	12_1684999717	kaʔapəaʔaʔa	erkältet sein	to have a cold	masuk angin	
1648	12_1685000280_0	12_1685000280	kipéaʔa	etwas zerbrechen , abbrechen , spalten	to break something , to break off , to split	untuk memecahkan sesuatu , untuk memutuskan , untuk membelah	
1649	12_1685000280_1	12_1685000280	kabə́aʔa	(Küken) ausschlüpfen , herauskommen	(chick) hatch , come out	(anak ayam) menetas, keluar	
1650	12_1685000280_2	12_1685000280	eara ukiʔadobu kabə́aʔa	das Küken schlüpft aus	the chick hatches out	anak ayam menetas	
1651	12_1685000280_3	12_1685000280	hoo babéaʔa	kam bereits heraus	already came out	sudah keluar	
1652	12_1685000280_4	12_1685000280	kidipə́aʔa	gespalten werden	to be split	untuk dibagi	
1653	12_1685000280_5	12_1685000280	edipə́aʔa	(noun) Zerbrochene	broken (things) (noun)	rusak (benda) (kata benda) (kata benda)	
1654	12_1685000280_6	12_1685000280	eəpə́aʔa	Zerbrechensinstrument	Breaking instrument	Instrumen pemecah	
1655	12_1685021591_0	12_1685021591	epapəʔa	Heiratzverflechtung	Marriage entanglement	Keterikatan dalam pernikahan	
1656	12_1685021591_1	12_1685021591	ipapəʔaka upahaonã	zu unserer Heiratsverflechtung	to our marriage entanglement	untuk keterikatan pernikahan kita	
1657	12_1685022717_0	12_1685022717	kipəʔaka	zufrieden , freigebig , zahm , milde sein , zugeneigt , vertraut	to be content , bountiful , tame , mild , affectionate , familiar	menjadi puas, berlimpah, jinak, lembut, penuh kasih sayang, akrab	
1658	12_1685022717_1	12_1685022717	ekapii eʔana hoo pəʔaka	die Kuh ist zahm	the cow is tame	sapi itu jinak	
1659	12_1685022717_10	12_1685022717	ʔupapeʔakaʔa:o ʔai ukidai	wir (ex) lassen unseren Zorn (?ǃ) aneinander aus	we (ex) vent our anger (?ǃ) on each other	kami (mantan) melampiaskan kemarahan kami (?ǃ) satu sama lain	
1660	12_1685022717_11	12_1685022717	adipəʔakáha:i ukaka eʔana epae	das Beschenkte jenes Mensch ist ein Kind	the receiver of that person's gift is a child	penerima hadiah dari orang tersebut adalah seorang anak	
1661	12_1685022717_2	12_1685022717	edipeʔakahíaʔa	das , was verschenkt wird	that which is given away	apa yang diberikan	
1662	12_1685022717_3	12_1685022717	epitipiti edipəʔakahíaʔa	es wird mit Geld beschenkt	gifts are given in monetary form	hadiah diberikan dalam bentuk uang	
1663	12_1685022717_4	12_1685022717	kapəʔaka ekidai	zufrieden sein , sich freuen	to be satisfied , to rejoice	untuk puas, untuk bersukacita	
1664	12_1685022717_5	12_1685022717	kipəʔakáha:i	jmd befriedigen	to satisfy sb.	untuk memuaskan sb.	
1665	12_1685022717_6	12_1685022717	kipeʔakahíaʔa	befriedigen , beschenken mit	satisfy , bestow with	memuaskan, berikan dengan	
1666	12_1685022717_7	12_1685022717	kipəʔakáʔa	zähmen	to tame	untuk menjinakkan	
1667	12_1685022717_8	12_1685022717	eapəʔaka	Zahmsein , Milde	the being-tame/mild (noun)	yang jinak/ringan (kata benda)	
1668	12_1685022717_9	12_1685022717	eapəʔaka ukitai	Zufriedenheit , Glücklichsein	contentment , happiness	kepuasan, kebahagiaan	
1669	12_1685023412_0	12_1685023412	kipəʔəka	explodieren , knallen , dröhnen	explode , bang , roar	meledak, bang, mengaum	
1670	12_1685023412_1	12_1685023412	eʔabeha kipəʔəka	der Bambus knallt (im Feuer)	the bamboo pops (in the fire)	bambu meletus (di dalam api)	
1671	12_1685023412_2	12_1685023412	kipaməməʔəka	wiederholt knallen	to pop repeatedly	muncul berulang kali	
1672	12_1685023412_3	12_1685023412	eapəʔə́ka	das Dröhnen	the roar	gemuruh	
1673	12_1685023645_0	12_1685023645	kaʔapəhaʔaʔa	1. abkühlen (in) , 2. (Essen) fade , geschmacklos sein ; nüchtern	1. cool (in) , 2. (food) be bland , tasteless ; sober	1. sejuk (dalam), 2. (makanan) menjadi hambar, tidak berasa; tidak berasa	
1674	12_1685070028_0	12_1685070028	kipəhai	können , kennen , wissen , verstehen , möglich sein , imstande sein	to be able , to know , to know , to understand , to be possible , to be capable of	mampu, mengetahui, mengenal, memahami, menjadi mungkin, mampu	
1675	12_1685070028_1	12_1685070028	kipəhaiya	wird können	will be able	akan dapat	
1676	12_1685070028_2	12_1685070028	keobaʔa kapəhai	nicht dürfen	not be allowed	tidak diperbolehkan	
1677	12_1685070028_3	12_1685070028	edipəhai	(noun) Gekonnte	(ability/skill) possessed/acquired (noun)	(kemampuan/keterampilan) yang dimiliki/diperoleh (kata benda)	
1678	12_1685070028_4	12_1685070028	epapəhai ukaka eʔana ʔamũhö	das Wissen jenes Menschen ist groß	the knowledge of that person is great	pengetahuan orang tersebut sangat bagus	
1679	12_1685070255_0	12_1685070255	pəkanãʔã	zerbrich , hebe (ein Verbot) aufǃ	break , lift (a ban)ǃ (sg)	istirahat , angkat (larangan) ǃ (sg)	
1680	12_1685070255_1	12_1685070255	kamũpə̃kãnãʔã ekauaba	wir heben das (Spinnennetz=) Verbot auf	we lift the (cobweb=) prohibition	kami mencabut larangan (sarang laba-laba=)	
1681	12_1685070536_0	12_1685070536	kipəkaʔa	etwas vor-/zubereiten	to prepare/prepare something	untuk mempersiapkan/menyiapkan sesuatu	
1682	12_1685070672_0	12_1685070672	kipəkana	sprießen , bersten	sprout , burst	bertunas, meledak	
1683	12_1685070672_1	12_1685070672	hoo pəkana	sproß	sprout	bertunas	
1684	12_1685071827_0	12_1685071827	kipəkanãʔã	etwas bersten lassen	to burst something	untuk meledakkan sesuatu	
1685	12_1685071827_1	12_1685071827	edipəkanãʔã	das , was man bersten läßt	that which is allowed to burst	apa yang dibiarkan meledak	
1686	12_1685071958_0	12_1685071958	kipəkanãʔã	gleichmäßig verteilen	distribute evenly	mendistribusikan secara merata	
1687	12_1685072000_0	12_1685072000	kipekau	teilen	divide	membagi	
1688	12_1685072105_0	12_1685072105	kapəkəa ekidai	die Eingeweide werden heraustreten	the entrails will come out	isi perut akan keluar	
1690	12_1685072375_0	12_1685072375	pəpəʔaʔa:i	zerschneideǃ	cut upǃ (sg)	potongǃ (sg)	
1691	12_1685072973_0	12_1685072973	kipĩĩ	nicht wollen , verweigern	not to want , to refuse	tidak menginginkan, menolak	
1692	12_1685072973_1	12_1685072973	ʔua kipĩĩ eaha:e	ich will nicht gehen	I do not want to go	Saya tidak ingin pergi	
1693	12_1685072973_2	12_1685072973	kamũpĩĩ mũnõõ	will nicht essen	do not want to eat	tidak mau makan	
1694	12_1685072973_3	12_1685072973	kipapĩĩ	1. nicht wollen , 2. Unglück haben , Pech haben	1. not to want , 2. have bad luck , bad luck	1. 1. tidak ingin, 2. bernasib buruk, nasib buruk	
1695	12_1685072973_4	12_1685072973	hoo papĩĩ	wollte bereits nicht	already did not want	sudah tidak mau	
1696	12_1685072973_5	12_1685072973	ki kapapĩĩ iʔiõõnã	sie wollten einander nicht	they did not want each other	mereka tidak menginginkan satu sama lain	
1697	12_1685072973_6	12_1685072973	ʔika kipapĩĩ uparaha:u	wir haben Pech beim Jagen	we are unlucky in hunting	kita tidak beruntung dalam berburu	
1698	12_1685072973_7	12_1685072973	kiʔobu epapĩĩ	"(""das Nichtwollen tun""=) nicht Wollen"	"(""to do the not wanting""=) not wanting"	"(""melakukan hal yang tidak diinginkan""=) tidak menginginkan"	
1699	12_1685072973_8	12_1685072973	enĩpĩĩ	(noun) nicht Gewollte	the unwanted	yang tidak diinginkan	
1700	12_1685073660_0	12_1685073660	epia	Pflanzung , Garten , Gartenprodukte	Plantation , garden , garden products	Perkebunan, kebun, produk kebun	
1701	12_1685073660_1	12_1685073660	kaʔapia	eine Pflanzung anlegen , besitzen , bearbeiten	to plant , own , cultivate a plantation	untuk menanam, memiliki, mengolah perkebunan	
1702	12_1685073660_2	12_1685073660	kabaʔapia	auf dem Feld arbeiten	to work in the field	untuk bekerja di lapangan	
1703	12_1685073660_3	12_1685073660	kapíai	(von Unkraut) säubern , Jäten	to clear (of weeds) , to weed	untuk membersihkan (dari gulma) , untuk menyiangi	
1704	12_1685073660_4	12_1685073660	epia ipṹʔũĩ	"trockenes Reisfeld (""Reisfeld auf dem Trocknen"")"	"dry rice field (""rice field on dry land"")"	"sawah kering (""sawah di lahan kering"")"	
1705	12_1685073660_5	12_1685073660	eaʔapia	das eine Pflanzung Bearbeiten , Anlegen , Besitzen , Ackerbau , Landwirtschaft	the cultivation of a plantation to work on , to own , to cultivate , agriculture	budidaya perkebunan untuk dikerjakan, dimiliki, diusahakan, pertanian	
1706	12_1685073660_6	12_1685073660	eaʔapiaha	die Pflanzung bearbeiten	to work the plantation	untuk bekerja di perkebunan	
1707	12_1685073660_7	12_1685073660	epiakaha	Pflanzungsgebiet , Gartenareal	planting area , garden area	area penanaman, area taman	
1708	12_1685073660_8	12_1685073660	edapíai	(noun) Gejätete	(things) weeded (noun)	(benda) yang disiangi (kata benda)	
1709	12_1685073773_0	12_1685073773	epĩʔã	Zwischenraum	space	ruang	
1710	12_1685073773_1	12_1685073773	ipĩʔã	zwischen	between	antara	
1711	12_1685073893_0	12_1685073893	apíaha	wieviel(e)	how many	berapa banyak	
1712	12_1685074165_0	12_1685074165	kapíai	jäten , von Unkraut säubern	to weed , clean of weeds	untuk menyiangi, bersih dari gulma	
1713	12_1685074165_1	12_1685074165	hoo bapíai	bereits gejätet	already weeded	sudah disiangi	
1714	12_1685074165_2	12_1685074165	edapíai	(noun) Gejätete	(thing) weeded (noun)	(benda) gulma (kata benda)	
1715	12_1685074165_3	12_1685074165	edapiaiya	das , was gejätet werden wird	that which will be weeded	apa yang akan disiangi	
1716	12_1685074165_4	12_1685074165	eapiáiya	Ort , wo gejätet wird	Place where weeding takes place	Tempat di mana penyiangan dilakukan	
1717	12_1685074540_0	12_1685074540	kipiáka	müde , ermüdet , erschöpft	tired , tired , exhausted	lelah, lelah, kelelahan	
1718	12_1685074540_1	12_1685074540	hoo piaka	bereits ermüdet	already tired	sudah lelah	
1719	12_1685074540_2	12_1685074540	kapiaka ekitai	ratlos sein	To have no clue	Untuk tidak memiliki petunjuk	
1720	12_1685074540_3	12_1685074540	eapiaka	Erschöpftsein , Müdigkeit	Exhaustion , tiredness	Kelelahan, kelelahan	
1721	12_1685074713_0	12_1685074713	kipiaki	jmd ermüden	tire someone out	ban seseorang keluar	
1722	12_1685074713_1	12_1685074713	hoo bupiaki	bereits ermüden	already tired	sudah lelah	
1723	12_1685074713_2	12_1685074713	kidipiaki	wurde ermüdet	became tired	menjadi lelah	
1724	12_1685074713_3	12_1685074713	edipiaki	(noun) Ermüdete	(thing that) has tired (noun)	(benda yang) telah lelah (kata benda)	
1725	12_1685075813_0	12_1685075813	kipĩxĩ	(aus)pressen	to squeeze	untuk memeras	
1726	12_1685075813_1	12_1685075813	ʔua pĩxĩ epĩ́ãhã upoo	ich presse Kokosmilch (?) aus	I squeeze coconut milk (?).	Saya memeras santan (?).	
1727	12_1685075813_2	12_1685075813	edipĩxĩ	(noun) Ausgepreßte	(thing that has been) squeezed out (noun)	(benda yang telah) diperas (kata benda)	
1728	12_1685075813_3	12_1685075813	eĩpĩxĩ upoo	Kokospresse	Coconut press	Perasan kelapa	
1729	12_1685075813_4	12_1685075813	eamĩxĩ	Preßabfall (Reste der ausgepreßten Kokonüsse)	Pressing waste (remains of the pressed coconuts)	Limbah pengepresan (sisa-sisa kelapa yang diperas)	
1730	12_1685075813_5	12_1685075813	eamĩxĩã	Ort des Auspressens	Place of pressing	Tempat menekan	
1731	12_1685076223_0	12_1685076223	kapixo	umherirren , irrig sein , sich irren ; (Ziel) verfehlt ; verzaubern , verhexen ; verirrt , falsch	to stray , to be mistaken , to err ; to miss (a goal) ; to bewitch , to bewitch ; to go astray , to be wrong	tersesat, keliru, salah; meleset dari (tujuan); menyihir, menyihir; tersesat, salah	
1732	12_1685076223_1	12_1685076223	kipapixo	irreführen , verfehlen (ein ziel)	to mislead , miss (a target)	menyesatkan, meleset (dari target)	
1733	12_1685076223_2	12_1685076223	eapixəa	(noun) Umherirren	wandering around (noun)	berkeliaran (kata benda)	
1734	12_1685076223_3	12_1685076223	edipapixo	(noun) Irregeführte , Verfehlte	misled , misguided (person) (noun)	disesatkan , sesat (orang) (kata benda) (kata benda)	
1735	12_1685076223_4	12_1685076223	epapixoho	(noun) zu Verfehlende	(things/goals) to be missed (noun)	(hal/tujuan) yang akan dilewatkan (kata benda)	
1736	12_1685076292_0	12_1685076292	epixo	Schaum	foam	busa	
1737	12_1685076292_1	12_1685076292	kipixoa	(auf)spritzen	to spray (up)	untuk menyemprot (ke atas)	
1738	12_1685499937_0	12_1685499937	kadea	weich , durchweicht ; schwach	wet , soaked ; weak	basah, basah kuyup; lemah	
1739	12_1685499937_1	12_1685499937	eadeda	(noun) Schwachsein	being weak (noun)	menjadi lemah (kata benda)	
1740	12_1685499937_2	12_1685499937	kadedadeda	sehr weich	very soft	sangat lembut	
1741	12_1685499937_3	12_1685499937	kabadeda[daʔa] epaʔioʔoita uici	sie sind bereit , den Worten zu folgen	they are ready to follow the words	mereka siap untuk mengikuti kata-kata	
1742	12_1685500258_0	12_1685500258	kadede	satt , gesättigt sein	to be full , to be satiated	menjadi kenyang, menjadi kenyang	
1743	12_1685500258_1	12_1685500258	hoo badede	bereits satt sein	to be full already	sudah kenyang	
1744	12_1685500258_2	12_1685500258	kadedéʔe:i	jmd sättigen	to satisfy someone('s hunger)	untuk memuaskan rasa lapar seseorang	
1745	12_1685500258_3	12_1685500258	edadedéʔe:i	(noun) Gesättigte	saturated (person/people) (noun)	jenuh (orang/orang) (kata benda) (kata benda)	
1746	12_1685500709_0	12_1685500709	ededei upadii	Reishärchen	Rice hairs	Rambut beras	
1747	12_1685501040_0	12_1685501040	kadeʔekaha eʔãdia	er erschrak	he was frightened	dia ketakutan	
1748	12_1685501143_0	12_1685501143	edehoreho	roter Vogel	red bird	burung merah	
1749	12_1685501201_0	12_1685501201	kide:iya	schräge	slant (noun)	miring (kata benda)	
1750	12_1685501343_0	12_1685501343	kadə́abidə́abi	scharf (nicht stumpf) sein	to be sharp (not blunt)	harus tajam (tidak tumpul)	
1751	12_1685501561_0	12_1685501561	kipadəahiaʔa	(Kinder) einander versprechen , verloben	to promise (children) to each other , to engage	berjanji (anak-anak) satu sama lain, untuk terlibat	
1752	12_1685503292_0	12_1685503292	kidaha	stecken (intr)	to stick (intr)	untuk menempel (intr)	
1753	12_1685504886_0	12_1685504886	edahao	Sohn , der von seinem ihm als Kind versprochenen Mädchen im Stich gelassen wurde	Son who was abandoned by the girl he was promised as a child	Anak laki-laki yang ditinggalkan oleh gadis yang dijanjikannya sebagai seorang anak	
1754	12_1685504886_1	12_1685504886	edahao	Schwager , Schwägerin	brother-in-law , sister-in-law	saudara ipar laki-laki, saudara ipar perempuan	
1755	12_1685504886_2	12_1685504886	hona udahaora	ihre Schwägerin	her sister-in-law	adik iparnya	
1756	12_1685504886_3	12_1685504886	kadahao	Pl	plural form	bentuk jamak	
1757	12_1685504886_4	12_1685504886	edadah[a]oa	verstorbener Enkel , Neffe , Nichte	deceased grandson , nephew , niece	cucu laki-laki, keponakan laki-laki, keponakan perempuan	
1758	12_1685504886_5	12_1685504886	karadahaoa	Pl	plural form	bentuk jamak	
1759	12_1685504886_6	12_1685504886	kaʔadahao iʔioo	jmd zum Enkel (Neffen usw) haben	have someone for a grandchild (nephew etc.)	memiliki seseorang untuk cucu (keponakan, dll.)	
1760	12_1685505294_0	12_1685505294	edadahəaha:i	die Verlobte	the fiancée (f)	tunangan (f)	
1761	12_1685505294_1	12_1685505294	kiparahəaha:i	verlobt sein	to be engaged	untuk dilibatkan	
1762	12_1685505294_2	12_1685505294	kixii barahəaha:i	jmd verloben	to get sb. engaged	untuk mengajak sb. bertunangan	
1763	12_1685921399_0	12_1685921399	kaʔadahəa:i	bitter	bitter	pahit	
1764	12_1685921399_1	12_1685921399	hoo baʔadahə́ai	war bereits bitter	was already bitter	sudah pahit	
1765	12_1685921399_2	12_1685921399	eaʔadahə́ai	(noun) Bittersein	bitterness	kepahitan	
1766	12_1685921399_3	12_1685921399	kipaʔadahə́ai	bitter sein lassen	to let be bitter	untuk membiarkan menjadi pahit	
1767	12_1685921399_4	12_1685921399	edahə́a:i	Galle	Bile	Empedu	
1768	12_1685921465_0	12_1685921465	edahibua uaraʔa:u	die Frau meines Kindes	my child's wife	istri anak saya	
1769	12_1685921576_0	12_1685921576	eúbadai	unser (ex) Haus	our (ex) house	rumah (mantan) kami	
1770	12_1685921822_0	12_1685921822	karaʔibia	Pl	plural form	bentuk jamak	
1771	12_1685921822_1	12_1685921822	kiparaʔibia	miteinander verfeindet sein	to be enemies with each other	menjadi musuh satu sama lain	
1772	12_1685921822_2	12_1685921822	eparaʔibia	(noun) Verfeindetsein	enmity	permusuhan	
1773	12_1685921995_0	12_1685921995	kidáixi	nahe am Abgrund sitzen	to sit close to the precipice	untuk duduk dekat dengan jurang	
1774	12_1685921995_1	12_1685921995	ʔua kidaixi ʔua	ich setze mich zum Fallen dicht an eine Kante	I sit close to a ledge to fall	Saya duduk di dekat langkan untuk jatuh	
1775	12_1685922212_0	12_1685922212	daʔikáhadia	Übermorgen	The day after tomorrow	Lusa	
1776	12_1685922212_1	12_1685922212	daʔiʔíka-daʔiʔíka	Tag für Tag , täglich	day after day , daily	hari demi hari, setiap hari	
1777	12_1685922609_0	12_1685922609	kidakodako	sich hin und her schlängeln	meandering back and forth	berkelok-kelok bolak-balik	
1778	12_1685926627_0	12_1685926627	eadaʔóaʔa	(auf die Knie) stützen beim Ersteigen eines Berges	to lean (on one's knees) when climbing a mountain	bersandar (berlutut) saat mendaki gunung	
1779	12_1685927073_0	12_1685927073	edapaʔa:iya	die Versammlung	the gathering	pertemuan	
1780	12_1685927073_1	12_1685927073	ʔua káhadapaʔá:íya	ich (gehe =) werde beschließen	I (go =) will resolve	Saya (pergi =) akan menyelesaikan	
1781	12_1685927073_2	12_1685927073	ʔika káhabahadapa:iʔi eaʔapía (order uaʔapìa) uʔekòa	wir wollen beschließen das Ausrupfen des Unkrautes des Weges	we want to/let us resolve to pluck out the weeds of the path	kita ingin/memungkinkan kita memutuskan untuk mencabut rumput liar di jalan	
1782	12_1685928007_0	12_1685928007	kadapedape	flach , niedrig	flat , low	datar, rendah	
1783	12_1685928124_0	12_1685928124	kidapía	in einem Bogen gehen	to go in an arch	untuk masuk ke dalam lengkungan	
1784	12_1685928124_1	12_1685928124	edidapía	Einbuchtug , Bucht , Bogen	bay , arch/bend/bow	teluk, lengkungan / tikungan / busur	
1785	12_1685931185_0	12_1685931185	kidapu	(Blitz) auf etwas , jmd niederfahren , einschlagen ; von etwas ablassen , loslassen , zurücklassen , fortwerfen usw	(lightning) to drive down on something , someone , to strike ; to let off something , let go , leave behind , throw away , etc.	(petir) untuk menghantam sesuatu, seseorang, menyerang; melepaskan sesuatu, melepaskan, meninggalkan, membuang, dsb.	
1786	12_1685931185_1	12_1685931185	kabudapu	fuhr nieder	drove/came down	melaju / turun	
1787	12_1685931185_2	12_1685931185	kabarapu	läßt zurück	leaves behind	daun di belakang	
1788	12_1685931185_3	12_1685931185	kabudapu eboo	Regen fällt , es regnet	rain falls , it rains	hujan turun, hujan turun	
1789	12_1685931291_0	12_1685931291	edauda kaʔikoko	dgl	and the like	dan sejenisnya	
1790	12_1685931291_1	12_1685931291	edapuda kaʔũ?ũĩ	dgl	and the like	dan sejenisnya	
1791	12_1685931510_0	12_1685931510	kidaráu	auf dem Rücken liegen	to lie on your back	berbaring telentang	
1792	12_1685931510_1	12_1685931510	eadarau	das so Liegen	lying like that	berbohong seperti itu	
1793	12_1685931946_0	12_1685931946	daúaʔa	miß nach Klafternǃ	measure by fathoms! (sg)	ukur dengan depa! (sg)	
1794	12_1685932057_0	12_1685932057	kidaudáu	flach (von Tellern usw)	flat (of plates etc)	datar (dari pelat dll)	
1795	12_1685932362_0	12_1685932362	kidá:úʔuo	einschließen , einsperren	to lock up , to lock up	untuk mengunci, untuk mengunci	
1796	12_1685932362_1	12_1685932362	ʔua kida:u úoho:i ekitá:úʔuo	ich schließe die Witwe ein	I lock up the widow	Aku mengunci janda	
1797	12_1685932362_2	12_1685932362	kidida:uʔúoho:i	wird eingeschlossen	is locked up	dikurung	
1798	12_1685932362_3	12_1685932362	ekidá:úʔuo	Witwe	widow	janda	
1799	12_1685932585_0	12_1685932585	kida[i]ya	schräg sein/liegen , schief	to be/lie slanted , crooked	menjadi / berbohong miring, bengkok	
1800	12_1685932585_1	12_1685932585	hoo budaya	war bereits schräg	was already slanted	sudah miring	
