ID;ex_crossref_EN;ex_crossref_EN_edited;ex_crossref_IDN;ex_crossref_IDN_edited
3142;cf. kikabita 'to get stuck';;bdk. kikabita 'terjebak';
3150;130z18;;130z18;
3155;cf. pa·rarakui 'cause , induce';;bdk. pa-rarakui 'menyebabkan , menyebabkan';cf. pa·rarakui 'menyebabkan , mendorong/memicu'
3156;85z19;;85z19;
3157;G28;;G28;
3176;G25;;G25;
3179;106z24: to remain absent for long;;106z24: tidak hadir dalam waktu lama;
3183;90z27;;90z27;
3189;G49;;G49;
3191;110z33;;110z33;
3193;89z17: [aliveǃ] 'older sister';;89z17: [hidupǃ] 'kakak perempuan';
3198;and the like (89z16 however: nephew [of a dead person]);;dan sejenisnya (namun 89z16: keponakan [dari orang yang sudah meninggal]);dan sejenisnya (namun 89z16: keponakan laki-laki [dari orang yang sudah meninggal])
3199;23zl4f;23z14f;23zl4f;23z14f
3200;88z29;;88z29;
3204;G69;;G69;
3213;§ 2a;;§ 2a;
3214;87z11;;87z11;
3222;Xz15ff and note 20 on narrative VII;;Xz15ff dan catatan 20 pada narasi VII;Xz15ff dan catatan 20 pada teks naratif VII
3231;"124z6 ; see ehao , ehaəhəaə";;"124z6; lihat ehao , ehaəhəaə";"124z6 ; lihat ehao , ehaəhəaə"
3234;cf. uhói 'woman with many children';;bdk. uhói 'wanita dengan banyak anak';
3235;see xurupo;;lihat xurupo;
3237;G5;;G5;
3239;H16 pahoehoenaq 'suku , tribe';;H16 pahoehoenaq 'suku , suku';
3245;90z23;;90z23;
3257;126z10;;126z10;
3258;cf. kõkõ 'roast , fry';;bdk. kõkõ 'memanggang , menggoreng';
3264;125z1;;125z1;
3266;cf. kedaba;;cf. kedaba;bdk. kedaba
3269;48z12+15;;48z12+15;
3275;109z1;;109z1;
3276;"H88:291f in case of fever [èadoh] , the body of the sufferer is rubbed with pisang leaves [aroeoei waie] and then artificially treated by pressure with thumb and finger [pihi] ; see dodohodi";;"H88:291f dalam kasus demam [èadoh], tubuh penderita digosok dengan daun pisang [aroeoei waie] dan kemudian diobati secara artifisial dengan tekanan dengan ibu jari dan jari [pihi]; lihat dodohodi";
3278;§ 64b;;§ 64b;
3294;with comparison;;dengan perbandingan;
3298;"133z21 ; see ropo";;"133z21; lihat ropo";"133z21 ; lihat ropo"
3299;G27;;G27;
3300;G72;;G72;
3302;see roropo;;lihat roropo;
3306;§ 33;;§ 33;
3314;see dúʔua;;lihat dúʔua;
3316;see padudu 'to gather';;lihat padudu 'mengumpulkan';lihat padudu 'berkumpul'
3318;see eʔudi 'skin';;lihat eʔudi 'kulit';
3327;§§ 13a , 38d;;§§ 13a , 38d;
3330;cf. eduhukíaʔa;;lih. eduhukíaʔa;
3333;see nə̃kĩ , oki 'pull';;lihat nə̃kĩ , oki 'tarik';
3335;see § 52b.4;;lihat § 52b.4;
3336;G26;;G26;
3345;G74;;G74;
3347;108z10;;108z10;
3348;H16 aroeoeieoe[w]a 'rubbing the chest of a breast sufferer with pisang leaves';;H16 aroeoeieoe[w]a 'menggosok dada penderita payudara dengan daun pisang';
3365;G38;;G38;
3382;G3;;G3;
3386;§ 34c;;§ 34c;
3395;§ 46;;§ 46;
3398;§ 52a;;§ 52a;
3399;§ 59a;;§ 59a;
3415;"G69 ; cf. bubúʔui";;"G69; bdk. bubúʔui";"G69 ; bdk. bubúʔui"
3420;§ 61b;;§ 61b;
3422;H16 è 'repel , push away , reject , push away';;H16 è 'mengusir, mendorong, menolak, mendorong';
3425;§ 29b;;§ 29b;
3427;"130z27 ; cf. kikebaraʔa 'to cut something diagonally'";;"130z27 ; bdk. kikebaraʔa 'memotong sesuatu secara diagonal'";
3429;"80z6 ; cf. kahaba";;"80z6; lih. kahaba";"80z6 ; lih. kahaba"
3446;108z11;;108z11;
3447;§ 52b;;§ 52b;
3451;G65;;G65;
3457;G16;;G16;
3458;G16;;G16;
3459;see kedoaʔa;;lihat kedoaʔa;
3461;see edo;;lihat edo;
3469;110z33;;110z33;
3474;126z31;;126z31;
3481;cf. kahaheʔeki iʔioo u- 'grind , file something';;cf. kahaheʔeki iʔioo u- 'menggiling, mengarsipkan sesuatu';cf. kahaheʔeki iʔioo u- 'menggiling, mengikir/mengasah sesuatu'
3482;G68;;G68;
3486;§ 64b;;§ 64b;
3491;125z12;;125z12;
3492;H16 paèie 'commit adultery , have extra-marital intercourse , engage in minstrelsy';;H16 paèie 'melakukan perzinahan, melakukan hubungan seksual di luar nikah, terlibat dalam pengamen';
3495;cf. auch eʔee 'vagina';cf. juga eʔee 'vagina';lih. auch eʔee 'vagina';lih. juga eʔee 'vagina'
3496;cf. ʔeʔebai 'cut diagonally';;bdk. ʔeʔebai 'memotong secara diagonal';
3497;cf. ekẽʔẽpã 'Bird , animal';;bdk. ekẽʔẽpã 'Burung , binatang';
3509;cf. ʔẽnũ;;lih. ʔẽnũ;
3512;129z6: lift up;;129z6: angkat;
3522;132zl8: gift;132z18: gift;132z18: hadiah;
3525;cf. hedi 'walking on the beach';;bdk. hedi 'berjalan di pantai';
3546;"see ubaki ; § 35f: The sound ə (kəbaki < ki+ubaki) is partly secondary due to the meeting of i with u.";;"lihat ubaki ; § 35f: Bunyi ə (kəbaki < ki+ubaki) sebagian merupakan bunyi sekunder karena pertemuan i dengan u.";
3552;MOD table IX on page 129;;Tabel MOD IX pada halaman 129;MOD tabel IX pada halaman 129
3560;111z34: Soul;;111z34: Jiwa;
3564;"127z29 ; 111z11";;"127z29; 111z11";"127z29 ; 111z11"
3565;"126z36 ; 127z23";;"126z36; 127z23";"126z36 ; 127z23"
3568;123z8;;123z8;
3571;127z20;;127z20;
3578;G64;;G64;
3581;111z14f;;111z14f;
3588;§ 48;;§ 48;
3593;see Vdəhəa;;lihat Vdəhəa;
3599;G68;;G68;
3608;90z25;;90z25;
3616;G44;;G44;
3636;109z25 , 110z20:;109z25 , 110z20: teasing , joking (noun) ;109z25, 110z20:;109z25 , 110z20: godaan , candaan
3637;109z23;;109z23;
3650;109z21;;109z21;
3656;G73;;G73;
3684;see inəhaʔa;;lihat inəhaʔa;
3694;G73;;G73;
3702;111z31;;111z31;
3708;106z36:;106z36: wink;106z36:;106z36: mengedipkan mata
3722;G45;;G45;
3731;89z22;;89z22;
3739;G1;;G1;
3757;106z27 , 112z6;;106z27, 112z6;106z27 , 112z6
3758;89z37;;89z37;
3760;137z27:;137z27: kill;137z27:;137z27: membunuh
3761;G15;;G15;
3766;H16 ē(j)ahakoqie 'life , soul';;H16 ē(j)ahakoqie 'hidup, jiwa';H16 ē(j)ahakoqie 'hidup , jiwa'
3768;§ 29b;;§ 29b;
3781;88z15;;88z15;
3786;107z18;;107z18;
3801;86z226:;86z226: burial;86z226:;86z226: pemakaman/kuburan
3807;Auxiliary counting word/noun classifier for baskets , not listed in § 34;;Pengklasifikasi kata/kata benda penghitung tambahan untuk keranjang, tidak tercantum dalam § 34;Kata bantu pengelompokan nomina (noun classifier) untuk keranjang, tidak tercantum dalam § 34
3816;89z18 , 26:;89z18 , 26: clear;89z18 , 26:;89z18 , 26: membersihkan
3830;G71;;G71;
3859;§ 2d;;§ 2d;
3862;§ 44a;;§ 44a;
3867;84z26;;84z26;
3875;85z3;;85z3;
3888;90z37;;90z37;
3889;108z36;;108z36;
3890;G67;;G67;
3900;89z1;;89z1;
3902;G32;;G32;
3918;"H16 èoekoe(w)aie 'forehead band , consisting of a tree leaf occasionally decorated with the feather of a parrot species' ; MOD table XII on page 149 , figure 12 on page 152";;"H16 èoekoe(w)aie 'pita dahi, terdiri dari daun pohon yang kadang-kadang dihiasi dengan bulu spesies burung beo'; Tabel MOD XII di halaman 149, gambar 12 di halaman 152";"H16 èoekoe(w)aie 'pita dahi/ikat kepala/dahi, terdiri dari daun pohon yang kadang-kadang dihiasi dengan bulu spesies burung beo' ; MOD tabel XII di halaman 149 , gambar 12 di halaman 152"
3927;128z12;;128z12;
3938;IVz11;;IVz11;
3957;§ 52c;;§ 52c;
3969;"109zlo ; Earth oven?";;"109zlo; Oven tanah?";"109zlo ; Oven/tungku tanah?"
3973;but H16 poedarie 'pectoral fin of fish';;tetapi H16 poedarie 'sirip dada ikan';
3985;122z19;;122z19;
3986;123z5;;123z5;
3987;123z12;;123z12;
4000;cf. pudei¹;;cf. pudei¹;bdk. pudei¹
4001;"§ 52b recognises an alleged infix -ad- ; it is more likely assimilation as in § 52a 2B";;"§ 52b mengenali dugaan infiks -ad-; kemungkinan besar ini adalah asimilasi seperti pada § 52a 2B";"§ 52b mengenali dugaan infiks -ad- ; kemungkinan besar ini adalah asimilasi seperti pada § 52a 2B"
4002;§ 64a;;§ 64a;
4016;112z15;;112z15;
4023;110z31;;110z31;
4025;111z21;;111z21;
4042;§ 29b;;§ 29b;
4048;see kiuka;;lihat kiuka;
4049;127z4;;127z4;
4067;§ 34c;;§ 34c;
4072;see kaheaʔa[o]-hoi and the like;;lihat kaheaʔa[o]-hoi dan sejenisnya;
4083;85z23;;85z23;
4086;§ 32b;;§ 32b;
4090;"129z14 ; 131z13";;"129z14; 131z13";"129z14 ; 131z13"
4097;108z23;;108z23;
4104;G69;;G69;
4108;89z3;;89z3;
4109;§ 42;;§ 42;
4111;G7;;G7;
4115;see hau³;;lihat hau³;
4118;see ahaoa;;lihat ahaoa;
4125;§ 59b;;§ 59b;
4126;see kixoho 'approach';;lihat kixoho 'pendekatan';
4128;H16 pahapèaq 'restrain , prevent';;H16 pahapèaq 'menahan , mencegah';
4132;105z18;;105z18;
4135;125z10;;125z10;
4138;§ 59b;;§ 59b;
4140;125z24;;125z24;
4146;87z3;;87z3;
4160;109z29;;109z29;
4161;110z23;;110z23;
4178;130z24 an eodi ukooʔĩãũ;;130z24 an eodi ukooʔĩãũ;
4180;H16 èdoro 'drifting away with the current or the wind';;H16 èdoro 'hanyut terbawa arus atau angin';
4181;89z13;;89z13;
4195;Auxiliary locative , § 26b;;Penunjuk lokasi tambahan, § 26b;kata bantu lokatif , § 26b
4206;G30;;G30;
4218;130z23;;130z23;
4219;"107z19 ; 108z16";;"107z19; 108z16";"107z19 ; 108z16"
4223;XIIz18f: The paddles [eoʔo:iji] made of ironwood [ekitee = Afzelia palembanica Bak.] had elongated oval blades;;XIIz18f: Dayung [eoʔo:iji] yang terbuat dari kayu ulin [ekitee = Afzelia palembanica Bak.] memiliki bilah lonjong memanjang;
4231;110z15;;110z15;
4243;G69;;G69;
4245;MOD 172 eòchi eocuòbi;;MOD 172 eòchi eocuòbi;
4257;G69;;G69;
4260;cf. epaʔokiʔi 'beetle species';;bdk. epaʔokiʔi 'spesies kumbang';
4271;133z19f;;133z19f;
4276;H16 èokoa 'drying place for clappers and fish';;H16 èokoa 'tempat menjemur genta dan ikan';
4280;105z22f;;105z22f;
4285;"§ 2d ; there Oǃ";;"§ 2d ; di sana Oǃ";
4288;128z27;;128z27;
4290;see keho²;;lihat keho²;
4291;105z35;;105z35;
4307;G74;;G74;
4318;112z2;;112z2;
4320;see nẽkõ;;lihat nẽkõ;
4338;IVz14 scabby;;IVz14 berkeropeng;
4350;G65: Festive clothing;;G65: Pakaian pesta;
4351;123z13;;123z13;
4353;§ 19b;;§ 19b;
4370;129z22;;129z22;
4413;cf. kikɔ̃hə̃ã 'support';;lih. kikɔ̃hə̃ã 'mendukung';
4416;cf. ekiʔakəʔəa = ekiʔakəʔa 'two-pronged fish spear';;bdk. ekiʔakəʔəa = ekiʔakəʔa 'tombak ikan bercabang dua';bdk. ekiʔakəʔəa = ekiʔakəʔa 'tombak ikan bercabang/bermata/berpisau dua'
4418;Auxiliary noun/noun classifier for flowers , § 34a;;Kata benda tambahan/kelas kata benda untuk bunga , § 34a;Kata bantu pengelompokan nomina (noun classifier) untuk bunga , § 34a
4429;128z28;;128z28;
4435;87z33f;;87z33f;
4436;87z31;;87z31;
4442;IIIz32f;;IIIz32f;
4452;XIz16;;XIz16;
4461;"133z22 ; cf. ekẽhõã 'occasion , reason , cause'";;"133z22; bandingkan dengan ekẽhõã 'kesempatan , alasan , penyebab'";"133z22 ; bandingkan dengan ekẽhõã 'kesempatan , alasan , penyebab'"
4466;105z17;;105z17;
4467;"109z20 ; 127z33: , 131z23: ?";"109z20: tend to search ; 127z33: take , 131z23: ?";"109z20; 127z33: , 131z23: ?";"109z20: cenderung mencari ; 127z33: mengambil , 131z23: ?"
4468;G71;;G71;
4469;IIIz32f;;IIIz32f;
4484;§ 52c;;§ 52c;
4488;H88:291f For abdominal illness [kafoehoe kidie] and diarrhoea , the patient must hold the abdomen over a stone heated by a fierce fire on which cold water is poured continuously by the dukun/shaman;;H88:291f Untuk penyakit perut [kafoehoe kidie] dan diare, pasien harus memegang perut di atas batu yang dipanaskan dengan api yang menyala-nyala dan di atasnya disiramkan air dingin secara terus menerus oleh dukun/dukun;
4489;"MOD 131 cafúhu ebaca sore eyes ; H88:291f eye diseases [kafoehoe ébaka] are cured by rubbing the sick eye with heated leaves , which treatment is called ènèak² ; Headache: MOD 131 cafúhu èulu headache ; H88:291f For headaches [kafoehoe èoeloe] , the head of the sufferer is first artificially treated [pihi] and then tied stiffly with a cloth";"MOD 131 cafúhu ebaca ‘sore eyes’ ; H88:291f eye diseases [kafoehoe ébaka] are cured by rubbing the sick eye with heated leaves , which treatment is called ènèak² ; Headache: MOD 131 cafúhu èulu ‘headache’ ; H88:291f For headaches [kafoehoe èoeloe] , the head of the sufferer is first artificially treated [pihi] and then tied stiffly with a cloth.";"MOD 131 cafúhu ebaca sakit mata; H88:291f penyakit mata [kafoehoe ébaka] disembuhkan dengan cara menggosok mata yang sakit dengan daun yang dipanaskan, yang pengobatannya disebut ènèak²; Sakit kepala: MOD 131 cafúhu èulu sakit kepala; H88:291f Untuk sakit kepala [kafoehoe èoeloe], kepala penderitanya pertama-tama diobati dengan obat buatan [pihi] lalu diikat dengan kain";"MOD 131 cafúhu ebaca ‘sakit mata’ ; H88:291f penyakit mata [kafoehoe ébaka] disembuhkan dengan cara menggosok mata yang sakit dengan daun yang dipanaskan, yang pengobatannya disebut ènèak² ; Sakit kepala: MOD 131 cafúhu èulu ‘sakit kepala’ ; H88:291f Untuk sakit kepala [kafoehoe èoeloe] , kepala penderitanya pertama-tama diobati dengan obat buatan [pihi] lalu diikat dengan kain."
4490;VIIIz25ff;;VIIIz25ff;
4491;MOD pohòchi 'widower who takes wife back';;MOD pohòchi 'duda yang mengambil kembali istrinya';
4497;§ 34b;;§ 34b;
4500;86z23;;86z23;
4505;G43;;G43;
4510;109zlo;109z10;109zlo;109z10
4511;109z12;;109z12;
4512;133z22;;133z22;
4513;122z20;;122z20;
4515;109z14;;109z14;
4516;G12;;G12;
4517;111z21;;111z21;
4522;111z3;;111z3;
4531;"90z6 ; 130z25";;"90z6; 130z25";"90z6 ; 130z25"
4533;H88:291f Persons suffering from a skin rash [èfoee] are prescribed to bathe in the sea twice a day in bright sunshine;;H88:291f Orang yang menderita ruam kulit [èfoee] diperintahkan untuk mandi di laut dua kali sehari di bawah sinar matahari yang cerah;
4538;see MOD 212ff;;lihat MOD 212ff;
4546;§ loa;§ 10a;§ loa;§ 10a
4552;cf. eporodipo;;cf. eporodipo;bdk. eporodipo
4557;"H16 èpoeoe 'knee' ; èpoe[oe]qoe oe[w]aie 'ankle'";;"H16 èpoeoe 'lutut' ; èpoe[oe]qoe oe[w]aie 'pergelangan kaki'";
4558;H16 èpoe[oe]qoe oe[w]apo 'wrist';;H16 èpoe[oe]qoe oe[w]apo 'pergelangan tangan';
4562;"see kakabuʔui ; mũmũʔũĩ ; mũʔĩñã";;"lihat kakabuʔui ; mũmũʔũĩ ; mũʔĩñã";
4565;G34;;G34;
4571;G10:;G10: place of sinking;G10:;G10: tempat tenggelam
4572;cf. XIIz25;;lih. XIIz25;
4586;G44;;G44;
4587;H16 kanoeaie 'misfortune , calamity';;H16 kanoeaie 'kemalangan, bencana';H16 kanoeaie 'kemalangan , bencana'
4589;G29;;G29;
4597;"88z18 ; see euba";;"88z18; lihat euba";"88z18 ; lihat euba"
4609;78z9;;78z9;
4611;78z10;;78z10;
4615;§ 34c;;§ 34c;
4622;see ʔãʔõ;;lihat ʔãʔõ;
4627;108z17;;108z17;
4628;cf. eaʔõʔõnõ (Nǃ) 'the weakness , the weakness';;bdk. eaʔõʔõnõ (Nǃ) 'kelemahannya, kelemahannya';
4630;§ 511;;§ 511;
4633;§ 34c;;§ 34c;
4636;21z33;;21z33;
4642;§ 31c;;§ 31c;
4650;XIIz13;;XIIz13;
4656;see ebúhui;;lihat ebúhui;
4657;§ 2a;;§ 2a;
4662;G63;;G63;
4681;108z29;;108z29;
4682;"without ʔ ; 133z29";;"tanpa ʔ ; 133z29";
4683;VIIIz19;;VIIIz19;
4687;124z16;;124z16;
4692;125z5 , 137z6: 'without ʔ';125z5 , 137z6: without ʔ;125z5 , 137z6: 'tanpa ʔ';125z5 , 137z6: tanpa ʔ
4694;132z5 , 145z25f 'however:';132z5 , 145z25f;132z5 , 145z25f 'namun:';132z5 , 145z25f
4695;132z38;;132z38;
4700;132z2;;132z2;
4701;90z2;;90z2;
4717;IVz16;;IVz16;
4722;126z21;;126z21;
4724;§ 2a;;§ 2a;
4725;105z30f;;105z30f;
4728;see Xz15ff;;lihat Xz15ff;
4732;see kipahũʔũnã 'coming from the same clan';;lihat kipahũʔũnã 'berasal dari marga yang sama';
4733;see ẽhẽẽ and the like , cf. kuhẽẽ , uhẽĩ;;lihat ẽhẽẽ dan sejenisnya, lih. kuhẽẽ , uhẽĩ;lihat ẽhẽẽ dan sejenisnya , lih. kuhẽẽ , uhẽĩ
4740;125z18;;125z18;
4741;109z30 , cf. baheʔaʔoho:i 'damage';;109z30 , bdk. baheʔaʔoho:i 'merusak';
4743;"see kahaba ; kedaba 'to stop'";;"lihat kahaba ; kedaba 'berhenti'";
4744;"124z26 ; 125z1 ; cf. heʔaʔoho:i 'damage'";;"124z26 ; 125z1 ; lih. heʔaʔoho:i 'merusak'";
4747;124z11;;124z11;
4748;124z7;;124z7;
4749;105z9f;;105z9f;
4750;H16 èhèboe 'a song of or in the style of the minnesingers';H16 èhèboe 'a song of or in the style of the “Minnesingers”';H16 èhèboe 'lagu dari atau dengan gaya minnesingers';H16 èhèboe 'lagu dari atau dengan gaya “Minnesingers”'
4761;H16 kahèdohèdo 'unclean , impure';;H16 kahèdohèdo 'najis, tidak murni';H16 kahèdohèdo 'tidak bersih , tidak murni'
4763;"85z26 , adultery ; cf. ʔeʔei";;"85z26 , perzinahan; lih. ʔeʔei";"85z26 , perzinahan ; lih. ʔeʔei"
4764;127z34;;127z34;
4765;86z18;;86z18;
4766;112z4 , kipabehe and the like;;112z4, kipabehe dan sejenisnya;
4767;eʔe , heheki and the like;;eʔe, heheki dan sejenisnya;eʔe , heheki dan sejenisnya
4779;IXz32f: Teeth of unequal length were ground flat with a stone;;IXz32f: Gigi yang panjangnya tidak sama digiling rata dengan batu;
4781;G26;;G26;
4783;cf. kipakəʔə́aʔa and the like , koʔ[o]a;;lih. kipakəʔə́aʔa dan sejenisnya, koʔ[o]a;lih. kipakəʔə́aʔa dan sejenisnya , koʔ[o]a
4790;H16 èhèkoe(q)wa 'rowing bench';;H16 èhèkoe(q)wa 'bangku dayung';
4809;H16 but: pahaèkoe 'set fire to cook';;H16 tapi: pahaèkoe 'membakar untuk memasak';H16 tapi: pahaèkoe 'menyalakan api untuk memasak'
4822;G20;;G20;
4823;111z23;;111z23;
4829;85z23 , 86z1;;85z23, 86z1;85z23 , 86z1
4839;53z24;;53z24;
4855;G72;;G72;
4856;IXz19f , MOD figure 16 on page 156;;IXz19f, MOD gambar 16 pada halaman 156;
4862;see didiki 'wrap';;lihat didiki 'bungkus';
4864;105z26;;105z26;
4865;106z3;;106z3;
4866;130z34;;130z34;
4869;107z14;;107z14;
4870;130z31;;130z31;
4879;89z2;;89z2;
4885;H16 èie(j)e 'cover made of frayed pisang and rottan leaves , formerly worn by women during the mourning period';;H16 èie(j)e 'penutup yang terbuat dari daun pisang dan rotan yang berjumbai , yang biasanya dipakai oleh wanita selama masa berkabung';
4887;111z18;;111z18;
4891;105z32;;105z32;
4894;G2;;G2;
4899;§ 24e;;§ 24e;
4900;130z5: , 132z14:;130z5: although , 132z14: if;130z5:, 132z14:;130z5: meskipun , 132z14: jika
4903;see paʔã́:ĩ́ñã and the like;;lihat paʔã́: ĩ́ñã dan sejenisnya;lihat paʔã́:ĩ́ñã dan sejenisnya
4916;§ 29b;;§ 29b;
4921;cf. kikeʔe:i 'stomp';;cf. kikeʔe:i 'menginjak';bdk. kikeʔe:i 'menginjak'
4932;see koko;;lihat koko;
4933;§ 29b;;§ 29b;
4937;G37;;G37;
4941;§ 52b;;§ 52b;
4947;127z19;;127z19;
4948;105z23;;105z23;
4960;cf. kinõnõ 'as/like/how?';;bdk. kinõnõ 'seperti/bagaimana?;bdk. kinõnõ 'seperti/bagaimana?’
4966;109z2;;109z2;
4967;109z35;;109z35;
4973;VIIz13;;VIIz13;
4981;G63;;G63;
4983;cf. 106z16 , 130z2;;bdk. 106z16 , 130z2;
4992;G60;;G60;
4993;H16 èabaoe(w)a èèn 'the types of an Engganese lance';;H16 èabaoe(w)a èèn 'jenis-jenis tombak orang Inggris';H16 èabaoe(w)a èèn 'jenis-jenis tombak masyarakan Enggano'
5003;124z27:;124z27: mediator;124z27:;124z27: mediator
5006;123z26;;123z26;
5025;G27 , 59;;G27 , 59;
5030;86z34;;86z34;
5055;108z2: dapakiʔa:odi;;108z2: dapakiʔa:odi;
5076;G69;;G69;
5077;IVz3;;IVz3;
5088;§ 64b;;§ 64b;
5099;§ 32a;;§ 32a;
5100;131z31f;;131z31f;
5103;H16 èadieho 'roasting the abdomen over a well-maintained wood fire to induce an abortion';;H16 èadieho 'memanggang perut di atas api kayu yang dipelihara dengan baik untuk memicu/mendorong aborsi';
5108;108z11;;108z11;
5116;see kikikiʔi 'to divide something (proportionally)';;lihat kikikiʔi 'membagi sesuatu (secara proporsional)';
5124;128z30;;128z30;
5127;G30;;G30;
5132;H16 èkiemo;;H16 èkiemo;
5135;G59;;G59;
5139;see kakidaradu;;lihat kakidaradu;
5140;IVz14;;IVz14;
5143;85z24 , 28;;85z24 , 28;
5144;"H16 kaãkieniepa 'green' ; kaãkienafah 'blue , dark blue'";;"H16 kaãkieniepa 'hijau' ; kaãkienafah 'biru, biru tua'";
5161;cf. kĩnõõ²;;lih. kĩnõõ²;
5196;130z26;;130z26;
5219;"IXz5-8: the members of a village association (kahaba:uba mãʔãõã) addressed each other as paʔa:ixi ʔua (= ""the one who reconciles me"")";;"IXz5-8: para anggota perkumpulan desa (kahaba:uba mãʔãõã) memanggil satu sama lain dengan sebutan paʔa:ixiʔua (= ""orang yang mendamaikan saya"")";
5227;H88:284 èbaoe 'war spear';;H88:284 èbaoe 'tombak perang';
5231;§ 33: the placing against each other of the fingertips of the two hands i.e. ten;;§ 33: saling menempelkan ujung jari kedua tangan, yaitu sepuluh;
5242;§§ 3 , 4b;;§§ 3 , 4b;
5246;129z32;;129z32;
5261;"see VIIz4-8 ; H16 èkoepado 'fencing of a bowland , of a garden'";;"lihat VIIz4-8; H16 èkoepado 'pagar dari sebuah padang rumput, dari sebuah taman'";"lihat VIIz4-8; H16 èkoepado 'pagar dari sebuah padang rumput , dari sebuah taman'"
5262;§ 35h;;§ 35h;
5313;see kahao 'Uncle , aunt';;lihat kahao 'Paman, bibi';lihat kahao 'paman, bibi'
5314;see a:oaha and the like;;lihat a: oaha dan sejenisnya;lihat a:oaha dan sejenisnya
5317;125z5 , 137z7;;125z5, 137z7;125z5 , 137z7
5331;see ahaoa;;lihat ahaoa;
5355;see eici²;;lihat eici²;
5357;88z30;;88z30;
5358;see aʔioʔoi;;lihat aʔioʔoi;
5360;G70;;G70;
5371;§ 44;;§ 44;
5376;G24;;G24;
5378;see kixorika 'to turn';;lihat kixorika 'berbelok';
5380;G67;;G67;
5391;87z6;;87z6;
5392;106z13;;106z13;
5393;"see hãhõ ; hã:õhõ";;"lihat hãhõ ; hã:õhõ";
5414;G36;;G36;
5431;129z9;;129z9;
5450;cf. ahopa;;cf. ahopa;bdk. ahopa
5452;G51;;G51;
5458;111z23;;111z23;
5461;cf. kahãpĩ 'want';;bdk. kahãpĩ 'ingin';
5462;134z1;;134z1;
5473;"H16 , èhora 'dance and singing at the ""kalèakoebaba"" festival'";;"H16 , èhora 'menari dan bernyanyi di festival ""kalèakoebaba""'";
5483;see kixodiki 'to drill';;lihat kixodiki 'mengebor';lihat kixodiki 'mengebor/membuat lubang'
5491;"125z27f , 126z1 ; cf. kipahã:ũʔũnã 'belong to a clan' ; e[ʔ]ahã:ũʔũʔũã 'Subclan'";;"125z27f , 126z1 ; bdk. kipahã:ũʔũnã 'milik marga' ; e[ʔ]ahã:ũʔũʔũã 'Submarga'";"125z27f , 126z1 ; bdk. kipahã:ũʔũnã 'milik/tergolong suatu marga/suku' ; e[ʔ]ahã:ũʔũʔũã 'submarga'"
5503;112z31;;112z31;
5505;see ha:ua;;lihat ha:ua;
5518;cf. hẽẽ , kuhẽẽ;;lih. hẽẽ , kuhẽẽ;
5519;111z2;;111z2;
5520;111z3;;111z3;
5532;130z19;;130z19;
5533;128z8;;128z8;
5534;127z34;;127z34;
5542;126z9;;126z9;
5543;"130z32 ; 127z34";;"130z32; 127z34";"130z32 ; 127z34"
5544;128z20;;128z20;
5545;130z36: Penalty;;130z36: Penalti;
5554;110z11;;110z11;
5561;VIz1: alternate expression for kipadudu;;VIz1: ekspresi alternatif untuk kipadudu;
5572;106z22;;106z22;
5578;H16 maonè 'celebration of/in case of death';;H16 maonè 'perayaan kematian';
5581;§ 2c;;§ 2c;
5621;"see enãʔãpũã ; cf. kãpũ";;"lihat enãʔãpũã ; bdk. kãpũ";
5622;§ 2c;;§ 2c;
5626;G33;;G33;
5632;Auxiliary noun , § 34b;;Kata benda bantu , § 34b;Kata bantu nomina , § 34b
5641;138z6:;138z6: reconciliation;138z6:;138z6: rekonsiliasi
5665;§§ 15a , 24b;;§§ 15a , 24b;
5666;"§ 26 ; §50i";;"§ 26 ; §50i";
5667;"§ 28a ; §29a";;"§ 28a ; § 29a";
5668;§ 27b;;§ 27b;
5674;§§ 15a , 24b;;§§ 15a , 24b;
